location,name,category,price,cost,utility,quantity,total,total_utility,Year,Month,Day_name,Day,Hour,sale_timestamp
University District,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,April,Sunday,21,10,2024-04-21 10:52:00
Suburbs,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Thursday,25,21,2024-04-25 21:25:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,April,Monday,1,6,2024-04-01 06:54:00
University District,Iced Mocha,Coffee,5.19,2.71,2.48,3,15.57,7.44,2024,March,Thursday,21,4,2024-03-21 04:52:00
University District,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,January,Saturday,27,15,2024-01-27 15:13:00
Downtown,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,April,Sunday,7,12,2024-04-07 12:41:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,January,Thursday,25,7,2024-01-25 07:05:00
Financial District,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,January,Tuesday,30,8,2024-01-30 08:15:00
Financial District,Iced Mocha,Coffee,5.19,2.71,2.48,2,10.38,4.96,2024,March,Saturday,2,22,2024-03-02 22:37:00
Suburbs,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,February,Monday,12,18,2024-02-12 18:30:00
University District,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,March,Monday,25,5,2024-03-25 05:22:00
Mall,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,February,Saturday,3,6,2024-02-03 06:03:00
Downtown,Cheesecake,Bakery,2.82,1.47,1.35,3,8.46,4.05,2024,February,Monday,5,19,2024-02-05 19:26:00
University District,Cold Brew,Coffee,5.9,3.08,2.82,3,17.7,8.46,2024,January,Monday,1,10,2024-01-01 10:50:00
Financial District,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,April,Monday,29,10,2024-04-29 10:49:00
Downtown,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,January,Monday,15,18,2024-01-15 18:59:00
Mall,Sandwich,Food,2.83,1.48,1.35,3,8.49,4.05,2024,January,Friday,19,15,2024-01-19 15:42:00
University District,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,January,Friday,12,7,2024-01-12 07:52:00
University District,Wrap,Food,4.36,2.28,2.08,3,13.08,6.24,2024,January,Monday,8,14,2024-01-08 14:23:00
Suburbs,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,February,Saturday,17,17,2024-02-17 17:34:00
University District,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,April,Saturday,13,1,2024-04-13 01:17:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,March,Thursday,28,4,2024-03-28 04:40:00
Mall,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,February,Tuesday,6,17,2024-02-06 17:19:00
Mall,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,March,Sunday,24,2,2024-03-24 02:12:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,April,Wednesday,3,2,2024-04-03 02:38:00
Financial District,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,February,Monday,12,23,2024-02-12 23:16:00
Mall,Iced Latte,Coffee,4.71,2.46,2.25,3,14.13,6.75,2024,January,Saturday,6,21,2024-01-06 21:45:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Monday,15,5,2024-01-15 05:38:00
University District,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,March,Friday,15,18,2024-03-15 18:39:00
Downtown,Cold Brew,Coffee,5.9,3.08,2.82,2,11.8,5.64,2024,April,Friday,12,11,2024-04-12 11:37:00
Downtown,Bagel,Bakery,2.09,1.09,1.0,2,4.18,2.0,2024,April,Friday,5,14,2024-04-05 14:35:00
Downtown,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,January,Thursday,18,4,2024-01-18 04:24:00
Downtown,Salad,Food,3.37,1.76,1.61,2,6.74,3.22,2024,April,Wednesday,10,8,2024-04-10 08:52:00
Mall,Cold Brew,Coffee,5.9,3.08,2.82,3,17.7,8.46,2024,February,Tuesday,6,23,2024-02-06 23:53:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,February,Saturday,24,22,2024-02-24 22:15:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Saturday,20,19,2024-01-20 19:44:00
Suburbs,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Friday,5,18,2024-01-05 18:24:00
University District,Mocha,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,March,Sunday,3,0,2024-03-03 00:34:00
University District,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,February,Sunday,25,9,2024-02-25 09:30:00
University District,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,January,Saturday,20,20,2024-01-20 20:33:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,January,Tuesday,2,4,2024-01-02 04:49:00
University District,Macchiato,Coffee,2.26,1.18,1.08,3,6.78,3.24,2024,January,Wednesday,31,21,2024-01-31 21:55:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,January,Thursday,25,6,2024-01-25 06:16:00
Financial District,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,January,Tuesday,9,14,2024-01-09 14:53:00
Suburbs,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,February,Saturday,3,2,2024-02-03 02:12:00
Mall,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,January,Sunday,21,16,2024-01-21 16:04:00
Suburbs,Espresso,Coffee,3.69,1.93,1.76,3,11.07,5.28,2024,February,Wednesday,14,7,2024-02-14 07:04:00
Mall,Sandwich,Food,2.83,1.48,1.35,3,8.49,4.05,2024,February,Saturday,24,17,2024-02-24 17:16:00
Mall,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Friday,23,8,2024-02-23 08:44:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,March,Friday,29,14,2024-03-29 14:50:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,March,Wednesday,27,17,2024-03-27 17:27:00
University District,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,February,Wednesday,21,16,2024-02-21 16:32:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,3,15.87,7.59,2024,March,Wednesday,13,21,2024-03-13 21:04:00
University District,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,April,Sunday,14,9,2024-04-14 09:55:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,3,15.87,7.59,2024,January,Thursday,18,13,2024-01-18 13:22:00
Mall,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Tuesday,20,20,2024-02-20 20:10:00
Suburbs,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,February,Tuesday,6,19,2024-02-06 19:04:00
Financial District,Brownie,Bakery,2.96,1.55,1.41,3,8.88,4.23,2024,April,Saturday,13,19,2024-04-13 19:04:00
University District,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,March,Friday,8,16,2024-03-08 16:56:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Thursday,4,6,2024-01-04 06:41:00
Suburbs,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Sunday,21,6,2024-01-21 06:37:00
Mall,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,April,Friday,19,4,2024-04-19 04:45:00
Financial District,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,January,Monday,1,17,2024-01-01 17:46:00
Mall,Iced Latte,Coffee,4.71,2.46,2.25,4,18.84,9.0,2024,March,Saturday,16,7,2024-03-16 07:22:00
University District,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,February,Sunday,11,6,2024-02-11 06:18:00
Mall,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,February,Friday,16,20,2024-02-16 20:14:00
Downtown,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,February,Thursday,22,23,2024-02-22 23:02:00
Financial District,Muffin,Bakery,5.75,3.0,2.75,2,11.5,5.5,2024,April,Wednesday,10,22,2024-04-10 22:34:00
Financial District,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,April,Thursday,18,6,2024-04-18 06:07:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,April,Tuesday,16,17,2024-04-16 17:06:00
Mall,Salad,Food,3.37,1.76,1.61,2,6.74,3.22,2024,February,Friday,16,7,2024-02-16 07:18:00
Downtown,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,March,Friday,22,21,2024-03-22 21:11:00
Suburbs,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,February,Thursday,29,13,2024-02-29 13:28:00
Downtown,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Friday,16,11,2024-02-16 11:51:00
Mall,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,January,Friday,5,10,2024-01-05 10:14:00
Downtown,Muffin,Bakery,5.75,3.0,2.75,2,11.5,5.5,2024,January,Friday,19,17,2024-01-19 17:34:00
University District,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,January,Tuesday,23,3,2024-01-23 03:54:00
Downtown,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,February,Sunday,4,17,2024-02-04 17:34:00
Downtown,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,January,Sunday,7,11,2024-01-07 11:47:00
Mall,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,March,Sunday,3,19,2024-03-03 19:48:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,March,Saturday,2,21,2024-03-02 21:29:00
Suburbs,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,April,Sunday,14,1,2024-04-14 01:12:00
Mall,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,March,Monday,4,23,2024-03-04 23:03:00
Mall,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,February,Friday,23,21,2024-02-23 21:19:00
Mall,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,March,Sunday,31,19,2024-03-31 19:34:00
University District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Wednesday,3,4,2024-04-03 04:52:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,February,Wednesday,21,13,2024-02-21 13:46:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,March,Wednesday,27,14,2024-03-27 14:57:00
Mall,Tea,Drink,3.31,1.73,1.58,4,13.24,6.32,2024,January,Wednesday,10,18,2024-01-10 18:17:00
Mall,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,January,Sunday,21,5,2024-01-21 05:14:00
Mall,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,January,Saturday,13,21,2024-01-13 21:40:00
Suburbs,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Sunday,7,19,2024-01-07 19:22:00
Mall,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,March,Saturday,2,0,2024-03-02 00:17:00
Downtown,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,March,Monday,11,11,2024-03-11 11:07:00
Mall,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,March,Tuesday,12,8,2024-03-12 08:47:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,April,Thursday,4,6,2024-04-04 06:27:00
University District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,April,Wednesday,10,18,2024-04-10 18:50:00
Financial District,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,April,Saturday,27,1,2024-04-27 01:51:00
Suburbs,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Thursday,11,17,2024-04-11 17:57:00
Downtown,Cold Brew,Coffee,5.9,3.08,2.82,2,11.8,5.64,2024,March,Sunday,3,2,2024-03-03 02:50:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,March,Thursday,14,15,2024-03-14 15:19:00
Financial District,Mocha,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,January,Saturday,20,22,2024-01-20 22:15:00
Financial District,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,March,Thursday,7,15,2024-03-07 15:30:00
Financial District,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,January,Sunday,21,23,2024-01-21 23:05:00
Downtown,Iced Mocha,Coffee,5.19,2.71,2.48,3,15.57,7.44,2024,March,Sunday,3,6,2024-03-03 06:52:00
University District,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,February,Thursday,1,21,2024-02-01 21:08:00
Mall,Cheesecake,Bakery,2.82,1.47,1.35,4,11.28,5.4,2024,March,Friday,22,1,2024-03-22 01:10:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,January,Tuesday,2,10,2024-01-02 10:38:00
University District,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,March,Thursday,7,14,2024-03-07 14:06:00
University District,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,April,Wednesday,17,12,2024-04-17 12:50:00
Downtown,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,April,Wednesday,17,6,2024-04-17 06:29:00
Downtown,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,April,Tuesday,9,14,2024-04-09 14:09:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,January,Friday,5,4,2024-01-05 04:11:00
University District,Macchiato,Coffee,2.26,1.18,1.08,3,6.78,3.24,2024,March,Friday,22,8,2024-03-22 08:04:00
Downtown,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Sunday,28,16,2024-04-28 16:47:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,February,Thursday,22,10,2024-02-22 10:52:00
Downtown,Salad,Food,3.37,1.76,1.61,3,10.11,4.83,2024,February,Friday,2,12,2024-02-02 12:45:00
Suburbs,Mocha,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,April,Sunday,14,22,2024-04-14 22:38:00
Downtown,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,March,Friday,1,10,2024-03-01 10:30:00
Downtown,Salad,Food,3.37,1.76,1.61,2,6.74,3.22,2024,January,Friday,5,14,2024-01-05 14:18:00
Downtown,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,February,Tuesday,20,7,2024-02-20 07:15:00
Downtown,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Monday,22,18,2024-04-22 18:34:00
Suburbs,Latte,Coffee,6.28,3.28,3.0,3,18.84,9.0,2024,April,Wednesday,24,11,2024-04-24 11:49:00
Mall,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Thursday,11,12,2024-04-11 12:40:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,3,11.07,5.28,2024,April,Wednesday,24,1,2024-04-24 01:31:00
Financial District,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,March,Saturday,23,1,2024-03-23 01:18:00
Suburbs,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,April,Wednesday,24,16,2024-04-24 16:25:00
Mall,Latte,Coffee,6.28,3.28,3.0,4,25.12,12.0,2024,February,Saturday,24,4,2024-02-24 04:14:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,March,Thursday,28,7,2024-03-28 07:13:00
Mall,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Monday,18,11,2024-03-18 11:10:00
Financial District,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,March,Monday,4,20,2024-03-04 20:45:00
Suburbs,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,April,Friday,26,23,2024-04-26 23:15:00
Suburbs,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,March,Thursday,21,5,2024-03-21 05:03:00
Mall,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Tuesday,9,3,2024-04-09 03:29:00
Downtown,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Thursday,11,17,2024-04-11 17:34:00
University District,Tea,Drink,3.31,1.73,1.58,4,13.24,6.32,2024,January,Saturday,27,15,2024-01-27 15:40:00
Suburbs,Latte,Coffee,6.28,3.28,3.0,3,18.84,9.0,2024,March,Thursday,7,13,2024-03-07 13:57:00
University District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Monday,12,6,2024-02-12 06:17:00
Suburbs,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,January,Monday,15,18,2024-01-15 18:19:00
Downtown,Sandwich,Food,2.83,1.48,1.35,2,5.66,2.7,2024,February,Tuesday,20,10,2024-02-20 10:22:00
Downtown,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,April,Monday,1,19,2024-04-01 19:41:00
Suburbs,Espresso,Coffee,3.69,1.93,1.76,3,11.07,5.28,2024,January,Tuesday,16,19,2024-01-16 19:52:00
Mall,Iced Latte,Coffee,4.71,2.46,2.25,3,14.13,6.75,2024,April,Friday,12,9,2024-04-12 09:42:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,April,Wednesday,24,18,2024-04-24 18:36:00
Downtown,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,April,Friday,26,0,2024-04-26 00:50:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,March,Wednesday,6,0,2024-03-06 00:51:00
Downtown,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,March,Sunday,3,5,2024-03-03 05:03:00
Financial District,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,February,Tuesday,27,8,2024-02-27 08:54:00
Downtown,Smoothie,Food,3.94,2.06,1.88,4,15.76,7.52,2024,April,Monday,15,22,2024-04-15 22:23:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,5,26.45,12.65,2024,January,Wednesday,10,21,2024-01-10 21:43:00
Mall,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,February,Sunday,11,21,2024-02-11 21:09:00
Mall,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,February,Tuesday,6,10,2024-02-06 10:11:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,February,Sunday,18,20,2024-02-18 20:59:00
Suburbs,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,February,Saturday,24,3,2024-02-24 03:29:00
Suburbs,Iced Latte,Coffee,4.71,2.46,2.25,3,14.13,6.75,2024,March,Tuesday,26,0,2024-03-26 00:25:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,2,7.38,3.52,2024,April,Tuesday,9,1,2024-04-09 01:11:00
Suburbs,Cold Brew,Coffee,5.9,3.08,2.82,3,17.7,8.46,2024,February,Wednesday,14,6,2024-02-14 06:08:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,January,Thursday,4,10,2024-01-04 10:32:00
Mall,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,February,Monday,12,20,2024-02-12 20:46:00
University District,Cold Brew,Coffee,5.9,3.08,2.82,4,23.6,11.28,2024,March,Sunday,24,3,2024-03-24 03:35:00
Financial District,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Monday,29,4,2024-01-29 04:50:00
Suburbs,Bagel,Bakery,2.09,1.09,1.0,3,6.27,3.0,2024,March,Friday,1,1,2024-03-01 01:07:00
Suburbs,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,April,Tuesday,2,12,2024-04-02 12:25:00
Mall,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,March,Wednesday,6,14,2024-03-06 14:07:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,April,Saturday,6,14,2024-04-06 14:11:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,March,Friday,15,4,2024-03-15 04:27:00
Downtown,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,March,Friday,8,11,2024-03-08 11:27:00
University District,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,March,Saturday,30,12,2024-03-30 12:10:00
University District,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,January,Saturday,27,8,2024-01-27 08:09:00
University District,Salad,Food,3.37,1.76,1.61,3,10.11,4.83,2024,April,Friday,12,20,2024-04-12 20:20:00
Downtown,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,January,Thursday,25,1,2024-01-25 01:00:00
University District,Espresso,Coffee,3.69,1.93,1.76,2,7.38,3.52,2024,March,Saturday,23,12,2024-03-23 12:18:00
University District,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,March,Thursday,28,8,2024-03-28 08:43:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,January,Monday,8,9,2024-01-08 09:03:00
Mall,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Thursday,29,9,2024-02-29 09:04:00
Suburbs,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Wednesday,3,15,2024-01-03 15:29:00
Financial District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,March,Tuesday,26,21,2024-03-26 21:30:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,March,Tuesday,5,12,2024-03-05 12:27:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,March,Sunday,17,1,2024-03-17 01:02:00
Financial District,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,February,Tuesday,13,9,2024-02-13 09:36:00
Financial District,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,April,Tuesday,23,1,2024-04-23 01:31:00
University District,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,April,Friday,5,20,2024-04-05 20:49:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,April,Thursday,25,5,2024-04-25 05:10:00
Suburbs,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,April,Wednesday,3,21,2024-04-03 21:26:00
Suburbs,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Sunday,21,10,2024-01-21 10:31:00
Suburbs,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,February,Sunday,4,10,2024-02-04 10:05:00
Suburbs,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,February,Friday,2,20,2024-02-02 20:32:00
