location,comment,rating,feedback_date
University District,Wifi was slow,5,2024-01-02
Suburbs,Not impressed,4,2024-03-13
Financial District,Line was too long,5,2024-04-17
Downtown,Bad experience,3,2024-04-03
Financial District,Coffee was cold,3,2024-01-28
University District,Not impressed,4,2024-03-02
Financial District,Not impressed,1,2024-01-29
Mall,Too noisy,3,2024-03-23
Downtown,Best coffee ever,4,2024-04-27
University District,Not impressed,5,2024-04-01
Mall,Too noisy,5,2024-04-14
Suburbs,Needs more vegan options,4,2024-02-25
Suburbs,Line was too long,5,2024-01-25
Financial District,Needs more vegan options,3,2024-04-02
Downtown,Bad experience,4,2024-03-27
Suburbs,Too noisy,5,2024-03-14
University District,Best coffee ever,4,2024-02-10
Downtown,Best coffee ever,4,2024-01-05
University District,Great service!,3,2024-03-02
University District,Will come again,3,2024-04-28
University District,Excellent staff,3,2024-04-26
Suburbs,Too noisy,4,2024-04-06
Financial District,Bad experience,4,2024-04-21
Suburbs,Best coffee ever,5,2024-03-02
Suburbs,Best coffee ever,4,2024-04-28
Financial District,Tasty food,2,2024-04-14
Mall,Loved the croissant,4,2024-01-05
University District,Too noisy,4,2024-03-08
Mall,Great service!,5,2024-02-06
University District,Excellent staff,2,2024-03-08
Mall,Coffee was cold,3,2024-03-29
University District,Wifi was slow,5,2024-02-01
Financial District,Not impressed,4,2024-01-14
Financial District,Line was too long,2,2024-03-31
Financial District,Needs more vegan options,3,2024-03-30
Downtown,Will come again,5,2024-03-03
University District,Will come again,5,2024-03-12
Financial District,Very clean,3,2024-01-30
Mall,Tasty food,2,2024-03-17
Downtown,Very clean,2,2024-04-05
Downtown,Loved the croissant,4,2024-04-26
Financial District,Friendly barista,4,2024-02-12
Suburbs,Best coffee ever,3,2024-02-22
Financial District,Loved the croissant,2,2024-02-22
Suburbs,Bad experience,4,2024-01-29
Financial District,Too noisy,3,2024-03-27
University District,Loved the croissant,3,2024-01-28
Mall,Coffee was cold,5,2024-03-18
Suburbs,Needs more vegan options,4,2024-03-14
Suburbs,Wifi was slow,3,2024-03-11
Downtown,Wifi was slow,4,2024-04-24
Suburbs,Great service!,3,2024-02-18
University District,Needs more vegan options,4,2024-04-29
Mall,Great service!,5,2024-03-30
Suburbs,Great service!,4,2024-02-05
Downtown,Very clean,4,2024-04-25
Mall,Excellent staff,3,2024-01-27
Suburbs,Very clean,3,2024-02-26
University District,Great service!,4,2024-01-28
University District,Excellent staff,3,2024-04-19
Mall,Too noisy,2,2024-01-30
Downtown,Coffee was cold,2,2024-04-28
University District,Loved the croissant,5,2024-02-13
Financial District,Friendly barista,4,2024-02-12
Financial District,Wifi was slow,5,2024-02-24
Suburbs,Loved the croissant,4,2024-03-28
University District,Loved the croissant,4,2024-03-05
Financial District,Coffee was cold,4,2024-04-14
Suburbs,Tasty food,4,2024-01-27
Suburbs,Excellent staff,4,2024-01-01
Suburbs,Coffee was cold,4,2024-01-10
Downtown,Very clean,5,2024-02-12
Suburbs,Very clean,3,2024-03-09
Downtown,Best coffee ever,3,2024-01-09
Financial District,Tasty food,4,2024-03-07
Suburbs,Not impressed,5,2024-01-29
Financial District,Very clean,3,2024-01-02
University District,Friendly barista,5,2024-03-22
Downtown,Will come again,5,2024-01-14
Financial District,Line was too long,4,2024-03-02
Suburbs,Excellent staff,3,2024-02-24
Financial District,Will come again,4,2024-01-29
Suburbs,Too noisy,3,2024-01-05
Mall,Line was too long,2,2024-04-29
Downtown,Coffee was cold,5,2024-04-19
University District,Needs more vegan options,4,2024-03-09
Financial District,Needs more vegan options,4,2024-03-06
Financial District,Great service!,3,2024-02-08
Mall,Bad experience,4,2024-01-23
Suburbs,Will come again,4,2024-04-04
University District,Tasty food,4,2024-04-23
Suburbs,Will come again,2,2024-01-16
Suburbs,Will come again,5,2024-01-22
Financial District,Needs more vegan options,5,2024-03-31
Financial District,Will come again,4,2024-01-29
Financial District,Too noisy,4,2024-03-09
Downtown,Bad experience,3,2024-04-25
Downtown,Needs more vegan options,2,2024-01-12
Financial District,Line was too long,4,2024-01-13
Suburbs,Not impressed,4,2024-01-08
University District,Friendly barista,5,2024-04-19
University District,Friendly barista,2,2024-01-24
Suburbs,Tasty food,5,2024-04-01
Mall,Very clean,4,2024-02-06
Suburbs,Bad experience,5,2024-03-31
University District,Too noisy,4,2024-02-05
Mall,Will come again,2,2024-03-13
Mall,Tasty food,4,2024-01-15
University District,Not impressed,4,2024-02-28
Mall,Will come again,4,2024-04-19
Downtown,Best coffee ever,5,2024-01-05
Financial District,Will come again,3,2024-04-01
Mall,Not impressed,1,2024-01-15
Mall,Line was too long,3,2024-04-09
Downtown,Friendly barista,3,2024-01-18
Downtown,Loved the croissant,3,2024-03-26
Suburbs,Tasty food,3,2024-01-05
University District,Loved the croissant,2,2024-03-26
Suburbs,Coffee was cold,5,2024-01-17
University District,Best coffee ever,3,2024-01-22
Downtown,Will come again,4,2024-03-25
Financial District,Not impressed,1,2024-04-19
University District,Line was too long,5,2024-03-27
University District,Will come again,4,2024-03-04
Downtown,Wifi was slow,5,2024-01-28
Mall,Line was too long,2,2024-04-01
Suburbs,Coffee was cold,3,2024-03-21
Financial District,Too noisy,3,2024-03-23
University District,Best coffee ever,5,2024-01-13
Mall,Great service!,4,2024-04-18
Downtown,Will come again,3,2024-02-14
University District,Loved the croissant,5,2024-02-03
Mall,Very clean,3,2024-04-20
Suburbs,Will come again,3,2024-02-23
Downtown,Great service!,4,2024-02-02
Mall,Friendly barista,4,2024-04-20
Mall,Will come again,1,2024-01-16
University District,Tasty food,5,2024-02-12
Suburbs,Best coffee ever,3,2024-03-01
Downtown,Not impressed,3,2024-04-03
Downtown,Line was too long,2,2024-01-03
Suburbs,Too noisy,3,2024-03-31
Financial District,Too noisy,4,2024-02-28
University District,Very clean,5,2024-01-20
Mall,Needs more vegan options,4,2024-04-27
University District,Too noisy,4,2024-02-01
Suburbs,Coffee was cold,4,2024-01-21
Mall,Loved the croissant,5,2024-02-15
Financial District,Will come again,4,2024-04-26
Suburbs,Coffee was cold,4,2024-03-09
University District,Line was too long,5,2024-04-22
Mall,Very clean,4,2024-04-29
Downtown,Best coffee ever,5,2024-01-02
Mall,Loved the croissant,4,2024-03-26
Mall,Very clean,3,2024-03-11
Suburbs,Loved the croissant,5,2024-04-15
Financial District,Will come again,4,2024-03-14
Mall,Coffee was cold,2,2024-02-21
Mall,Tasty food,4,2024-04-13
Financial District,Too noisy,4,2024-01-01
Financial District,Needs more vegan options,5,2024-03-20
Mall,Great service!,3,2024-04-14
Downtown,Too noisy,5,2024-01-28
Downtown,Excellent staff,3,2024-04-21
Downtown,Tasty food,5,2024-03-01
Suburbs,Excellent staff,4,2024-03-24
Suburbs,Very clean,5,2024-01-26
Downtown,Needs more vegan options,4,2024-03-19
Downtown,Coffee was cold,5,2024-04-14
Downtown,Best coffee ever,2,2024-04-03
Financial District,Line was too long,1,2024-01-12
University District,Not impressed,2,2024-01-02
Suburbs,Too noisy,4,2024-03-14
Suburbs,Excellent staff,4,2024-03-31
Suburbs,Tasty food,3,2024-04-29
University District,Wifi was slow,1,2024-01-21
Mall,Bad experience,4,2024-02-24
Suburbs,Great service!,3,2024-01-16
Mall,Very clean,5,2024-02-06
Financial District,Excellent staff,2,2024-02-14
Downtown,Bad experience,4,2024-03-26
Downtown,Will come again,4,2024-02-08
Financial District,Excellent staff,3,2024-02-10
Downtown,Will come again,4,2024-01-22
Financial District,Not impressed,2,2024-02-18
Downtown,Best coffee ever,1,2024-03-21
Financial District,Will come again,4,2024-01-17
Financial District,Wifi was slow,5,2024-01-26
Downtown,Best coffee ever,4,2024-04-10
Mall,Best coffee ever,3,2024-02-07
Suburbs,Very clean,4,2024-02-07
Suburbs,Coffee was cold,4,2024-02-10
University District,Coffee was cold,1,2024-04-15
University District,Line was too long,2,2024-04-22
Downtown,Will come again,5,2024-03-07
Suburbs,Very clean,4,2024-04-25
University District,Too noisy,4,2024-03-13
Suburbs,Very clean,2,2024-03-05
Financial District,Excellent staff,3,2024-02-25
Mall,Best coffee ever,4,2024-01-19
Financial District,Tasty food,3,2024-01-14
University District,Bad experience,5,2024-04-13
University District,Excellent staff,4,2024-04-23
Downtown,Friendly barista,3,2024-04-11
Mall,Excellent staff,5,2024-03-06
Mall,Coffee was cold,4,2024-03-11
Suburbs,Coffee was cold,3,2024-02-07
Downtown,Excellent staff,5,2024-02-12
Mall,Too noisy,3,2024-04-28
University District,Best coffee ever,4,2024-04-01
Financial District,Coffee was cold,4,2024-01-10
Financial District,Will come again,4,2024-03-29
Mall,Friendly barista,4,2024-01-22
Financial District,Coffee was cold,3,2024-03-15
University District,Wifi was slow,5,2024-03-04
Suburbs,Very clean,5,2024-04-13
University District,Not impressed,5,2024-02-14
Mall,Too noisy,3,2024-04-11
University District,Excellent staff,3,2024-03-14
University District,Coffee was cold,3,2024-01-18
Financial District,Bad experience,4,2024-04-20
Suburbs,Needs more vegan options,5,2024-03-09
Downtown,Very clean,4,2024-01-11
Mall,Line was too long,4,2024-01-27
Mall,Wifi was slow,4,2024-04-26
University District,Loved the croissant,3,2024-01-27
Financial District,Very clean,2,2024-02-29
Financial District,Great service!,2,2024-02-05
Mall,Too noisy,4,2024-02-26
Downtown,Great service!,4,2024-01-13
Downtown,Best coffee ever,5,2024-04-20
Suburbs,Will come again,4,2024-01-28
University District,Best coffee ever,2,2024-03-06
Mall,Too noisy,5,2024-01-07
Downtown,Tasty food,4,2024-04-05
Downtown,Too noisy,5,2024-03-10
Financial District,Line was too long,1,2024-01-19
Suburbs,Line was too long,4,2024-01-15
Mall,Not impressed,4,2024-03-27
Suburbs,Too noisy,4,2024-03-28
Downtown,Line was too long,4,2024-02-15
Suburbs,Excellent staff,5,2024-04-21
Downtown,Very clean,5,2024-02-21
Financial District,Bad experience,3,2024-04-01
University District,Too noisy,5,2024-01-24
Mall,Excellent staff,5,2024-02-23
University District,Line was too long,4,2024-02-22
Suburbs,Bad experience,4,2024-02-25
Downtown,Wifi was slow,4,2024-01-22
University District,Tasty food,4,2024-04-15
Financial District,Great service!,4,2024-04-29
Suburbs,Not impressed,5,2024-03-10
Suburbs,Line was too long,4,2024-02-16
University District,Bad experience,3,2024-01-04
Suburbs,Great service!,4,2024-02-03
Mall,Loved the croissant,4,2024-02-20
University District,Best coffee ever,3,2024-04-12
University District,Not impressed,4,2024-01-27
Financial District,Wifi was slow,5,2024-04-16
Suburbs,Too noisy,1,2024-01-22
Financial District,Line was too long,5,2024-04-20
Suburbs,Very clean,4,2024-02-23
University District,Bad experience,4,2024-01-16
Suburbs,Best coffee ever,5,2024-04-05
Financial District,Needs more vegan options,5,2024-02-26
University District,Friendly barista,3,2024-03-09
Suburbs,Very clean,5,2024-02-28
Financial District,Too noisy,3,2024-02-10
Suburbs,Best coffee ever,2,2024-02-02
Financial District,Loved the croissant,4,2024-02-14
Mall,Excellent staff,5,2024-04-08
Financial District,Not impressed,2,2024-03-09
Downtown,Will come again,4,2024-01-23
Suburbs,Not impressed,4,2024-02-15
Downtown,Best coffee ever,4,2024-04-10
Mall,Excellent staff,4,2024-02-01
Financial District,Tasty food,4,2024-02-21
University District,Coffee was cold,4,2024-03-18
University District,Excellent staff,4,2024-04-26
Financial District,Not impressed,4,2024-02-02
Mall,Great service!,3,2024-04-16
Financial District,Best coffee ever,3,2024-03-09
University District,Excellent staff,4,2024-02-26
University District,Too noisy,5,2024-02-04
University District,Tasty food,3,2024-04-15
Financial District,Wifi was slow,3,2024-02-23
Mall,Tasty food,4,2024-04-14
Mall,Not impressed,1,2024-04-20
Mall,Will come again,5,2024-04-11
University District,Not impressed,4,2024-02-27
Suburbs,Too noisy,5,2024-03-26
Financial District,Best coffee ever,4,2024-03-10
University District,Excellent staff,5,2024-04-28
Mall,Friendly barista,3,2024-04-27
Financial District,Loved the croissant,4,2024-04-13
Mall,Too noisy,3,2024-04-07
Downtown,Bad experience,4,2024-02-25
University District,Very clean,1,2024-01-04
Mall,Wifi was slow,4,2024-03-06
Downtown,Tasty food,5,2024-01-09
Mall,Will come again,1,2024-04-03
University District,Needs more vegan options,3,2024-04-10
Suburbs,Not impressed,3,2024-01-19
Mall,Very clean,5,2024-03-03
Mall,Needs more vegan options,5,2024-02-29
Downtown,Line was too long,2,2024-02-20
University District,Best coffee ever,3,2024-03-13
Mall,Excellent staff,1,2024-01-05
Financial District,Loved the croissant,4,2024-01-16
University District,Excellent staff,4,2024-03-30
Downtown,Coffee was cold,4,2024-01-07
Downtown,Best coffee ever,3,2024-01-02
Downtown,Friendly barista,3,2024-03-18
University District,Too noisy,2,2024-01-31
University District,Line was too long,4,2024-03-26
Mall,Loved the croissant,3,2024-02-02
Downtown,Not impressed,2,2024-02-09
Downtown,Loved the croissant,4,2024-04-22
University District,Bad experience,2,2024-02-28
University District,Tasty food,4,2024-04-04
Financial District,Best coffee ever,2,2024-03-23
Downtown,Too noisy,5,2024-01-06
University District,Coffee was cold,3,2024-02-15
University District,Will come again,4,2024-02-09
Mall,Excellent staff,4,2024-02-12
Downtown,Tasty food,5,2024-04-19
Financial District,Very clean,5,2024-03-14
University District,Very clean,4,2024-04-22
Mall,Too noisy,4,2024-01-12
Mall,Too noisy,3,2024-03-30
Suburbs,Great service!,3,2024-01-04
Downtown,Tasty food,4,2024-04-24
Mall,Loved the croissant,4,2024-02-28
Financial District,Excellent staff,5,2024-02-18
Downtown,Wifi was slow,4,2024-01-05
Financial District,Coffee was cold,3,2024-04-03
Mall,Not impressed,4,2024-01-24
Downtown,Loved the croissant,4,2024-04-19
Mall,Needs more vegan options,5,2024-04-12
Mall,Bad experience,4,2024-02-04
Mall,Friendly barista,3,2024-01-05
University District,Coffee was cold,4,2024-01-05
University District,Needs more vegan options,5,2024-03-12
Financial District,Friendly barista,5,2024-04-27
University District,Excellent staff,5,2024-04-08
Financial District,Line was too long,5,2024-02-24
University District,Line was too long,3,2024-03-05
Mall,Will come again,4,2024-03-06
University District,Bad experience,5,2024-01-07
Suburbs,Loved the croissant,5,2024-01-15
Mall,Tasty food,4,2024-03-18
Suburbs,Great service!,4,2024-03-17
Mall,Great service!,3,2024-02-13
University District,Excellent staff,4,2024-01-29
Downtown,Tasty food,4,2024-04-23
Financial District,Very clean,4,2024-01-02
Mall,Coffee was cold,4,2024-02-27
Downtown,Best coffee ever,5,2024-03-11
Downtown,Very clean,5,2024-01-10
University District,Line was too long,2,2024-03-24
Mall,Loved the croissant,4,2024-03-29
Downtown,Too noisy,3,2024-02-24
Financial District,Very clean,2,2024-03-30
Suburbs,Very clean,4,2024-02-11
University District,Coffee was cold,4,2024-03-10
University District,Coffee was cold,2,2024-03-08
University District,Loved the croissant,4,2024-03-12
Financial District,Bad experience,3,2024-01-13
University District,Will come again,4,2024-02-06
Financial District,Not impressed,5,2024-01-08
Downtown,Excellent staff,2,2024-02-09
Mall,Wifi was slow,4,2024-04-02
Downtown,Friendly barista,3,2024-03-31
Mall,Great service!,4,2024-01-09
University District,Coffee was cold,5,2024-03-18
Downtown,Excellent staff,3,2024-02-29
Financial District,Great service!,4,2024-03-15
University District,Bad experience,2,2024-03-29
Downtown,Very clean,4,2024-03-27
Downtown,Not impressed,4,2024-01-10
Financial District,Loved the croissant,4,2024-03-11
Financial District,Will come again,4,2024-03-17
Downtown,Very clean,4,2024-01-22
Financial District,Bad experience,5,2024-04-14
Suburbs,Not impressed,4,2024-04-13
Suburbs,Excellent staff,3,2024-04-22
Financial District,Best coffee ever,3,2024-02-25
Downtown,Not impressed,3,2024-02-15
Financial District,Bad experience,4,2024-01-18
Financial District,Loved the croissant,3,2024-03-13
Mall,Friendly barista,4,2024-03-26
Suburbs,Not impressed,4,2024-04-26
University District,Too noisy,3,2024-04-28
University District,Not impressed,4,2024-02-28
University District,Very clean,4,2024-03-01
Financial District,Tasty food,1,2024-04-20
University District,Wifi was slow,3,2024-04-21
Mall,Bad experience,4,2024-02-21
Financial District,Excellent staff,5,2024-01-09
Downtown,Very clean,4,2024-04-15
Downtown,Excellent staff,4,2024-03-03
Financial District,Loved the croissant,4,2024-03-04
Suburbs,Wifi was slow,4,2024-01-14
Suburbs,Not impressed,4,2024-03-16
Downtown,Too noisy,5,2024-04-13
University District,Not impressed,5,2024-01-17
Mall,Not impressed,4,2024-01-17
Financial District,Very clean,4,2024-02-20
Mall,Needs more vegan options,3,2024-02-25
Mall,Too noisy,4,2024-01-24
Mall,Coffee was cold,4,2024-04-23
Financial District,Will come again,4,2024-03-17
University District,Will come again,3,2024-04-22
Financial District,Excellent staff,5,2024-02-05
Downtown,Great service!,5,2024-03-02
University District,Coffee was cold,3,2024-01-18
Downtown,Not impressed,3,2024-04-26
Mall,Loved the croissant,3,2024-04-03
University District,Not impressed,3,2024-02-24
Mall,Coffee was cold,5,2024-04-15
Downtown,Needs more vegan options,3,2024-02-11
Financial District,Bad experience,4,2024-04-10
University District,Line was too long,2,2024-03-05
Mall,Line was too long,4,2024-01-14
Suburbs,Excellent staff,2,2024-01-10
Mall,Excellent staff,3,2024-01-05
Downtown,Wifi was slow,5,2024-01-22
Downtown,Friendly barista,3,2024-04-14
Financial District,Line was too long,3,2024-04-02
University District,Friendly barista,4,2024-04-22
Suburbs,Very clean,2,2024-04-24
Downtown,Will come again,4,2024-04-05
University District,Coffee was cold,5,2024-04-04
Suburbs,Best coffee ever,3,2024-02-06
Financial District,Very clean,4,2024-02-02
University District,Very clean,2,2024-04-03
Mall,Coffee was cold,4,2024-04-12
Suburbs,Coffee was cold,5,2024-04-06
Mall,Loved the croissant,4,2024-01-10
Mall,Excellent staff,4,2024-03-04
Suburbs,Great service!,1,2024-02-27
Mall,Line was too long,3,2024-03-03
Suburbs,Bad experience,4,2024-02-04
Mall,Excellent staff,4,2024-02-18
Financial District,Not impressed,4,2024-01-28
Financial District,Needs more vegan options,1,2024-02-24
University District,Bad experience,4,2024-04-15
Mall,Excellent staff,3,2024-01-09
Financial District,Bad experience,4,2024-04-14
Financial District,Wifi was slow,5,2024-03-15
Financial District,Very clean,5,2024-02-14
Downtown,Loved the croissant,4,2024-01-27
Mall,Loved the croissant,2,2024-02-01
University District,Too noisy,5,2024-02-10
Financial District,Wifi was slow,4,2024-01-21
Suburbs,Wifi was slow,4,2024-03-16
Downtown,Best coffee ever,2,2024-01-07
Mall,Very clean,4,2024-01-22
University District,Loved the croissant,4,2024-04-05
Financial District,Very clean,4,2024-02-23
Suburbs,Will come again,5,2024-03-07
Downtown,Excellent staff,1,2024-03-16
Suburbs,Wifi was slow,3,2024-02-27
Suburbs,Wifi was slow,3,2024-03-17
Downtown,Great service!,4,2024-03-26
Suburbs,Too noisy,3,2024-03-04
Financial District,Friendly barista,4,2024-02-11
Downtown,Tasty food,5,2024-04-11
Mall,Best coffee ever,5,2024-02-22
Downtown,Tasty food,1,2024-01-28
University District,Line was too long,5,2024-04-25
Financial District,Very clean,4,2024-02-27
Mall,Wifi was slow,5,2024-01-05
Financial District,Bad experience,4,2024-04-03
Financial District,Wifi was slow,4,2024-02-24
Downtown,Best coffee ever,4,2024-04-05
Mall,Will come again,4,2024-02-29
Downtown,Needs more vegan options,4,2024-02-14
University District,Best coffee ever,4,2024-03-24
University District,Tasty food,4,2024-01-20
University District,Bad experience,4,2024-04-14
Downtown,Wifi was slow,1,2024-01-09
Downtown,Too noisy,3,2024-01-07
University District,Tasty food,4,2024-01-07
Downtown,Very clean,4,2024-03-30
Suburbs,Coffee was cold,3,2024-04-06
Suburbs,Wifi was slow,4,2024-02-19
Suburbs,Tasty food,4,2024-04-04
Financial District,Line was too long,5,2024-04-17
Mall,Friendly barista,4,2024-01-14
Mall,Excellent staff,4,2024-04-20
Mall,Friendly barista,3,2024-04-08
University District,Will come again,2,2024-04-03
Suburbs,Great service!,1,2024-02-04
Suburbs,Friendly barista,4,2024-03-03
Downtown,Excellent staff,2,2024-01-19
Financial District,Loved the croissant,3,2024-03-13
Financial District,Bad experience,5,2024-02-28
Suburbs,Great service!,4,2024-03-22
Downtown,Tasty food,5,2024-03-04
Suburbs,Friendly barista,2,2024-03-05
University District,Will come again,5,2024-01-17
University District,Tasty food,5,2024-03-26
Mall,Wifi was slow,5,2024-01-12
Mall,Not impressed,3,2024-02-24
Suburbs,Loved the croissant,2,2024-01-18
Mall,Tasty food,5,2024-03-06
Suburbs,Very clean,3,2024-01-24
Financial District,Friendly barista,4,2024-04-12
University District,Loved the croissant,4,2024-01-04
Downtown,Wifi was slow,5,2024-03-27
Downtown,Excellent staff,4,2024-01-04
Financial District,Will come again,4,2024-01-21
Suburbs,Best coffee ever,4,2024-01-27
University District,Friendly barista,4,2024-01-11
Suburbs,Tasty food,4,2024-03-02
Suburbs,Best coffee ever,4,2024-03-04
Financial District,Excellent staff,2,2024-03-28
Financial District,Great service!,5,2024-01-27
Mall,Great service!,3,2024-03-04
Financial District,Best coffee ever,4,2024-02-05
Mall,Bad experience,1,2024-03-31
Downtown,Will come again,3,2024-04-28
Mall,Best coffee ever,4,2024-04-01
Mall,Needs more vegan options,4,2024-03-02
Downtown,Very clean,4,2024-02-16
University District,Bad experience,3,2024-04-07
Suburbs,Will come again,5,2024-03-06
Suburbs,Very clean,4,2024-02-10
Financial District,Needs more vegan options,4,2024-03-30
Financial District,Very clean,3,2024-02-14
University District,Not impressed,3,2024-03-19
Financial District,Not impressed,4,2024-01-24
Suburbs,Tasty food,3,2024-01-19
Mall,Line was too long,4,2024-03-11
Mall,Tasty food,3,2024-03-21
Financial District,Will come again,5,2024-04-21
